ScanningMode	2Theta
ScanningType	Continuos Scanning
X-Ray	40kV/40mA
DivSlit	3.0mm
DivH.L.Slit	10mm
SctSlit	open
RecSlit	open
Start	114
Stop	119
Step	0.01
118.44	83468
118.45	83483
118.46	83780
118.47	83792
118.48	83873
118.49	83517
118.5	83216
118.51	83620
118.52	83770
118.53	83662
118.54	83691
118.55	83887
118.56	83470
118.57	83583
118.58	83702
118.59	83961
118.6	84183
118.61	83820
118.62	83437
118.63	83467
118.64	83805
118.65	83555
118.66	83720
118.67	83542
118.68	84016
118.69	83541
118.7	83847
118.71	83909
118.72	83811
118.73	83939
118.74	83742
118.75	83440
118.76	83545
118.77	83373
118.78	83657
118.79	83885
118.8	83755
118.81	83733
118.82	83561
118.83	83793
118.84	84275
118.85	83581
118.86	84218
118.87	83534
118.88	84108
118.89	83899
118.9	83556
118.91	83970
118.92	83453
118.93	83537
118.94	83210
118.95	83706
118.96	84028
118.97	83476
118.98	83997
118.99	83597
119	83414
X-Ray	40kV/40mA
DivSlit	3.0mm
DivH.L.Slit	10mm
SctSlit	open
RecSlit	open
Start	114
Stop	119
Step	0.01
114	79710
114.01	79546
114.02	80012
114.03	79545
114.04	79916
114.05	79789
114.06	79749
114.07	80002
114.08	79638
114.09	79957
114.1	79464
114.11	79613
114.12	79591
114.13	80046
114.14	79808
114.15	79560
114.16	79793
114.17	80161
114.18	80006
114.19	79809
114.2	79233
114.21	80059
114.22	79424
114.23	80026
114.24	80091
114.25	80040
114.26	80089
114.27	80149
114.28	79688
114.29	80143
114.3	80127
114.31	80284
114.32	79443
114.33	80151
114.34	80033
114.35	79717
114.36	80547
114.37	80061
114.38	79841
114.39	79888
114.4	80274
114.41	80334
114.42	79584
114.43	80054
114.44	80025
114.45	80285
114.46	79996
114.47	80206
114.48	80643
114.49	79777
114.5	80340
114.51	79914
114.52	79932
114.53	79774
114.54	79927
114.55	80356
114.56	80198
114.57	79201
114.58	80045
114.59	80011
114.6	80118
114.61	79881
114.62	80169
114.63	80165
114.64	79861
114.65	80279
114.66	80012
114.67	79965
114.68	80064
114.69	80410
114.7	80600
114.71	80367
114.72	80275
114.73	79965
114.74	79725
114.75	80061
114.76	80309
114.77	79928
114.78	80043
114.79	80513
114.8	80028
114.81	79759
114.82	80528
114.83	79641
114.84	80276
114.85	80176
114.86	80211
114.87	80618
114.88	80191
114.89	80987
114.9	80190
114.91	80604
114.92	80311
114.93	80188
114.94	80678
114.95	80879
114.96	80382
114.97	80820
114.98	80342
114.99	80780
115	80902
115.01	80810
115.02	80667
115.03	80695
115.04	80195
115.05	80470
115.06	80468
115.07	80302
115.08	80618
115.09	79605
115.1	81156
115.11	80737
115.12	79941
115.13	80551
115.14	80330
115.15	80965
115.16	80632
115.17	80807
115.18	80683
115.19	80367
115.2	80896
115.21	80809
115.22	80778
115.23	80872
115.24	81431
115.25	80939
115.26	80693
115.27	80768
115.28	81084
115.29	81195
115.3	80887
115.31	80654
115.32	81204
115.33	81060
115.34	81139
115.35	81218
115.36	81290
115.37	81500
115.38	80952
115.39	80909
115.4	80279
115.41	81466
115.42	80890
115.43	81053
115.44	81487
115.45	81173
115.46	81416
115.47	81492
115.48	81620
115.49	80810
115.5	81312
115.51	81293
115.52	81876
115.53	81716
115.54	81484
115.55	81287
115.56	81919
115.57	81666
115.58	81651
115.59	81546
115.6	81635
115.61	82417
115.62	81566
115.63	82229
115.64	82260
115.65	81520
115.66	82205
115.67	82331
115.68	82320
115.69	82614
115.7	82579
115.71	82494
115.72	82651
115.73	82917
115.74	82731
115.75	83237
115.76	83211
115.77	82858
115.78	82653
115.79	83330
115.8	83233
115.81	83126
115.82	83557
115.83	83664
115.84	83316
115.85	83494
115.86	83930
115.87	83706
115.88	83198
115.89	83328
115.9	84356
115.91	84411
115.92	84593
115.93	84197
115.94	84298
115.95	84880
115.96	84307
115.97	84232
115.98	84426
115.99	84565
116	85072
116.01	84853
116.02	85060
116.03	85350
116.04	84835
116.05	84659
116.06	84881
116.07	85790
116.08	85465
116.09	85071
116.1	85029
116.11	85786
116.12	85504
116.13	85096
116.14	85159
116.15	85603
116.16	85511
116.17	85624
116.18	85659
116.19	85725
116.2	85757
116.21	85700
116.22	85629
116.23	85824
116.24	85854
